Time,Time Code,Country Name,Country Code,"GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]",Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS],"Population, total [SP.POP.TOTL]",Urban population (% of total) [SP.URB.TOTL.IN.ZS],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Lifetime risk of maternal death (%) [SH.MMR.RISK.ZS],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]"
2010,YR2010,Solomon Islands,SLB,1782.82935002354,..,21.2459186032906,527790,20.048,68.6228292682927,0.610405944054011,28.1
2010,YR2010,Somalia,SOM,..,..,..,12053223,37.259,53.9911951219512,5.43496474747067,159.2
2010,YR2010,South Africa,ZAF,12028.9339762531,92.87732,7.66313493460826,50979432.3622277,62.218,55.8696097560976,0.380548923279963,53.7
2010,YR2010,South Sudan,SSD,3789.92344190339,..,41.7299093714052,10067192,17.855,53.6319756097561,4.54304494346724,112.5
2010,YR2010,Spain,ESP,32507.0939660629,97.7489,0.0650459062557332,46576897,78.442,81.6268292682927,0.00673895695451097,3.8
2010,YR2010,Sri Lanka,LKA,8563.21243914991,91.18136,0.180674017820145,20119000,18.321,74.3130243902439,0.0799683134807594,11.2
2010,YR2010,St. Kitts and Nevis,KNA,21412.201453108,..,0,51445,31.806,..,..,12
2010,YR2010,St. Lucia,LCA,11798.4257915794,..,0.0256122712364086,172580,18.45,74.4506585365854,0.110870946746659,15.4
2010,YR2010,St. Martin (French part),MAF,..,..,..,30235,..,78.7219512195122,..,..
2010,YR2010,St. Vincent and the Grenadines,VCT,9915.57761891195,..,0.0352867084603901,109315,48.785,72.334243902439,0.10881371326731,20.7
2010,YR2010,Sudan,SDN,3366.09626107549,..,13.8451253468617,34385963,33.08,62.600756097561,1.6830401935313,76.7
2010,YR2010,Suriname,SUR,14211.8775163255,94.67575,24.3149942292226,526103,66.344,70.364243902439,0.426363375058518,24.1
